时间,农林消费部门的碳排放量预测值,一次能源中化石的能源消费量,一次能源中非化石的能源消费量,二次能源的能源消费量,化石能源发电的能源消费量,非化石能源发电的能源消费量,碳排放量预测值,工业消费部门的碳排放量预测值,交通消费部门的碳排放量预测值,建筑消费部门的碳排放量预测值,居民生活消费的碳排放量预测值,能源供应部门的碳排放量预测值
2010,963.905660454649,24625.7703682110,184.597458663862,506.430259969085,10815.2952688858,506.430259969085,94761.0239378810,49669.8697616607,3087.02628254704,2865.11729196645,4291.40426234342,33883.7006789446
2011,1002.71789999353,25265.1422450766,210.287367260549,660.643502827734,11152.2091263533,660.643502827734,96830.4279512018,50263.5877986401,3340.12536514550,3130.28871951625,4611.60122927651,34482.1069386378
2012,1040.40536004025,25875.5757128000,235.038627217989,819.990617346019,11468.9789215252,819.990617346019,98844.1314288229,50813.6699849069,3592.30897848099,3397.82026015595,4935.03767823428,35064.8891670257
2013,1076.96804059390,26457.0707714111,258.851238535019,984.471603527665,11765.6046544239,984.471603527665,100802.134370789,51320.1163204461,3843.57712255581,3667.71191388555,5261.71360922419,35632.0473641120
2014,1112.40594165726,27009.6274208575,281.725201212335,1154.08646136522,12042.0863250121,1154.08646136522,102704.436777130,51782.9268052727,4093.92979736859,3939.96368070692,5591.62902224436,36183.5815298893
2015,1146.71906322846,27533.2456611767,303.660515250172,1328.83519086242,12298.4239333048,1328.83519086242,104551.038647786,52202.1014394015,4343.36700291862,4214.57556061819,5924.78391729109,36719.4916643724
2016,1179.90740530752,28027.9254923686,324.657180647599,1508.71779201925,12534.6174793094,1508.71779201925,106341.939982787,52577.6402227730,4591.88873920776,4491.54755361751,6261.17829436809,37239.7777675502
2017,1211.97096789535,28493.6669144034,344.715197405079,1693.73426483572,12750.6669630185,1693.73426483572,108077.140782118,52909.5431554317,4839.49500623392,4770.87965970673,6600.81215347350,37744.4398394264
2018,1242.90975099010,28930.4699273035,363.834565523313,1883.88460931182,12946.5723844394,1883.88460931182,109756.641045824,53197.8102373630,5086.18580399943,5052.57187888958,6943.68549460918,38233.4778799899
2019,1272.72375459410,29338.3345310837,382.015285001136,2079.16882544756,13122.3337435648,2079.16882544756,111380.440773830,53442.4414685667,5331.96113250288,5336.62421116047,7289.79831777140,38706.8918892629
2020,1301.41297870595,29717.2607257068,399.257355839480,2279.58691324294,13277.9510404021,2279.58691324294,112948.539966196,53643.4368490577,5576.82099174336,5623.03665652126,7639.15062296391,39164.6818672307
2021,1328.97742332611,30067.2485112101,415.560778037645,2485.13887269795,13413.4242749438,2485.13887269795,114460.938622892,53800.7963788360,5820.76538172318,5911.80921497568,7991.74241018482,39606.8478138931
2022,1355.41708845366,30388.2978875637,430.925551595632,2695.82470381260,13528.7534471899,2695.82470381260,115917.636743963,53914.5200578719,6063.79430244002,6202.94188651815,8347.57367943227,40033.3897292502
2023,1380.73197409045,30680.4088547751,445.351676514372,2911.64440658689,13623.9385571480,2911.64440658689,117318.634329334,53984.6078861952,6305.90775389597,6496.43467114866,8706.64443071000,40444.3076133095
2024,1404.92208023509,30943.5814128667,458.839152792934,3132.59798102081,13698.9796048105,3132.59798102081,118663.931379065,54011.0598638356,6547.10573609010,6792.28756887279,9068.95466401801,40839.6014660671
2025,1427.98740688805,31177.8155618012,471.387980431318,3358.68542711437,13753.8765901774,3358.68542711437,119953.527893156,53993.8759907186,6787.38824902149,7090.50057968684,9434.50437935442,41219.2712875195
2026,1449.92795404932,31383.1113016009,482.998159430455,3589.90674486384,13788.6295132563,3589.90674486384,121187.423871547,53933.0562668741,7026.75529269176,7391.07370358706,9803.29357671924,41583.3170776628
2027,1470.74372171750,31559.4686322808,493.669689789414,3826.26193427667,13803.2383740470,3826.26193427667,122365.619314298,53828.6006923169,7265.20686709927,7694.00694058090,10175.3222561106,41931.7388365120
2028,1490.43470989494,31706.8875538036,503.402571508661,4067.75099534914,13797.7031725347,4067.75099534914,123488.114221379,53680.5092670321,7502.74297224591,7999.30029066652,10550.5904175323,42264.5365640596
2029,1509.00091858068,31825.3680661917,512.196804587729,4314.37392807752,13772.0239087343,4314.37392807752,124554.908592835,53488.7819910198,7739.36360813072,8306.95375383832,10929.0980609842,42581.7102603018
2030,1526.44234777428,31914.9101694524,520.052389026852,4566.13073246926,13726.2005826458,4566.13073246926,125566.002428606,53253.4188642949,7975.06877475255,8616.96733010374,11310.8451864645,42883.2599252351
2031,1542.75899747619,31975.5138635635,526.969324826729,4823.02140852064,13660.2331942618,4823.02140852064,126521.395728707,52974.4198868424,8209.85847211350,8929.34101945721,11695.8317939732,43169.1855588742
2032,1557.95086768549,32007.1791485399,532.947611985961,5085.04595623165,13574.1217435822,5085.04595623165,127421.088493183,52651.7850586772,8443.73270021169,9244.07482190058,12084.0578835104,43439.4871612117
2033,1572.01795840356,32009.9060243890,537.987250505481,5352.20437560230,13467.8662306145,5352.20437560230,128265.080721974,52285.5143797845,8676.69145904901,9561.16873743758,12475.5234550778,43694.1647322439
2034,1584.96026962996,31983.6944910884,542.088240385521,5624.49666662887,13341.4666553512,5624.49666662887,129053.372415110,51875.6078501940,8908.73474862427,9880.62276606262,12870.2285086717,43933.2182719670
2035,1596.77780136466,31928.5445486531,545.250581625383,5901.92282931879,13194.9230177999,5901.92282931879,129785.963572577,51422.0654698610,9139.86256893678,10202.4369077776,13268.1730442978,44156.6477803923
2036,1607.47055360768,31844.4561970904,547.474274225766,6184.48286366463,13028.2353179529,6184.48286366463,130462.854194418,50924.8872388005,9370.07491998840,10526.6111625824,13669.3570619505,44364.4532575160
2037,1617.03852635762,31731.4294363707,548.759318185737,6472.17676967755,12841.4035558254,6472.17676967755,131084.044280574,50384.0731570274,9599.37180177728,10853.1455304790,14073.7805616315,44556.6347033381
2038,1625.48171961680,31589.4642665163,549.105713505764,6765.00454734638,12634.4277313948,6765.00454734638,131649.533831075,49799.6232245266,9827.75321430503,11182.0400114637,14481.4435433429,44733.1921178512
2039,1632.80013338383,31418.5606875420,548.513460186543,7062.96619667113,12407.3078446686,7062.96619667113,132159.322845906,49171.5374412984,10055.2191575710,11513.2946055401,14892.3460070807,44894.1255010702
2040,1638.99376765918,31218.7186994180,546.982558226911,7366.06171765924,12160.0438956544,7366.06171765924,132613.411325112,48499.8158073574,10281.7696315742,11846.9093127064,15306.4879528489,45039.4348529838
2041,1644.06262244191,30989.9383021668,544.513007627334,7674.29111030325,11892.6358843446,7674.29111030325,133011.799268633,47784.4583226889,10507.4046363165,12182.8841329627,15723.8693806436,45169.1201735921
2042,1648.00669773389,30732.2194957584,541.104808388511,7987.65437461063,11605.0838107392,7987.65437461063,133354.486676484,47025.4649873078,10732.1241717958,12521.2190663107,16144.4902904704,45283.1814628951
2043,1650.82599353371,30445.5622802228,536.757960509276,8306.15151057765,11297.3876748458,8306.15151057765,133641.473548710,46222.8358011842,10955.9282380145,12861.9141127486,16568.3506823238,45381.6187209003
2044,1652.52050984185,30129.9666555598,531.472463990562,8629.78251820058,10969.5474766567,8629.78251820058,133872.759885252,45376.5707643926,11178.8168349711,13204.9692722745,16995.4505562074,45464.4319476038
2045,1653.09024665831,29785.4326217398,525.248318831436,8958.54739748314,10621.5632161796,8958.54739748314,134048.345686138,44486.6698768288,11400.7899626647,13550.3845448941,17425.7899121214,45531.6211430058
2046,1652.53520398168,29411.9601787850,518.085525032599,9292.44614842907,10253.4348934069,9292.44614842907,134168.230951354,43553.1331385672,11621.8476210977,13898.1599306017,17859.3687500618,45583.1863070950
2047,1650.85538181430,29009.5493267104,509.984082594281,9631.47877103090,9865.16250833869,9631.47877103090,134232.415680945,42575.9605495632,11841.9898102677,14248.2954293992,18296.1870700326,45619.1274398901
2048,1648.05078015523,28578.2000654787,500.943991515553,9975.64526529238,9456.74606098235,9975.64526529238,134240.899874851,41555.1521098465,12061.2165301768,14600.7910412867,18736.2448720299,45639.4445413835
2049,1644.12139900401,28117.9123951122,490.965251797112,10324.9456312172,9028.18555133045,10324.9456312172,134193.683533102,40490.7078194022,12279.5277808241,14955.6467662659,19179.5421560574,45644.1376115717
2050,1639.06723836157,27628.6863156185,480.047863438958,10679.3798687980,8579.48097939044,10679.3798687980,134090.766655713,39382.6276782453,12496.9235622084,15312.8626043350,19626.0789221134,45633.2066504620
2051,1632.88829822559,27110.5218269750,468.191826440860,11038.9479780383,8110.63234515488,11038.9479780383,133932.149242640,38230.9116863608,12713.4038743321,15672.4385554940,20075.8551701996,45606.6516580395
2052,1625.58457859932,26563.4189291969,455.397140802583,11403.6499589421,7621.63964862376,11403.6499589421,133717.831293911,37035.5598437488,12928.9687171928,16034.3746197447,20528.8709003124,45564.4726343192
2053,1617.15607948089,25987.3776222914,441.663806525059,11773.4858115017,7112.50288980454,11773.4858115017,133447.812809512,35796.5721504539,13143.6180907923,16398.6707970817,20985.1261124555,45506.6695792973
2054,1607.60280087078,25382.3979062364,426.991823607124,12148.4555357210,6583.22206869721,12148.4555357210,133122.093789488,34513.9486064166,13357.3519951303,16765.3270875122,21444.6208066270,45433.2424929738
2055,1596.92474276852,24748.4797810465,411.381192049710,12528.5591316037,6033.79718528688,12528.5591316037,132740.674233779,33187.6892116368,13570.1704302053,17134.3434910346,21907.3549828269,45344.1913753413
2056,1585.12190517411,24085.6232467294,394.831911851885,12913.7965991423,5464.22823958844,12913.7965991423,132303.554142416,31817.7939661443,13782.0733960194,17505.7200076431,22373.3286410552,45239.5162264146
2057,1572.19428808801,23393.8283032626,377.343983014347,13304.1679383405,4874.51523160189,13304.1679383405,131810.733515412,30404.2628699392,13993.0608925708,17879.4566373453,22842.5417813137,45119.2170461826
2058,1558.14189151069,22673.0949506685,358.917405537330,13699.6731492020,4264.65816131979,13699.6731492020,131262.212352723,28947.0959230065,14203.1329198612,18255.5533801354,23314.9944035988,44983.2938346453
2059,1542.96471544122,21923.4231889248,339.552179420134,14100.3122317158,3634.65702874213,14100.3122317158,130657.990654379,27446.2931253463,14412.2894778897,18634.0102360155,23790.6865079142,44831.7465918027
2060,1526.66275987914,21144.8130180389,319.248304662760,14506.0851859003,2984.51183389127,14506.0851859003,129998.068420380,25901.8544769585,14620.5305666553,19014.8272049874,24269.6180942599,44664.5753176622
